iter	MAE
0	0.1818401685
1	0.1816430617
2	0.1814408212
3	0.1812836144
4	0.1811039332
5	0.1809296347
6	0.1807594907
7	0.180589131
8	0.1804395917
9	0.1802719769
10	0.1801071499
11	0.1799634306
12	0.1798129002
13	0.1796822743
14	0.1795375015
15	0.1794216332
16	0.179281884
17	0.1791529389
18	0.1790116087
19	0.1788823492
20	0.1787586115
21	0.1786512074
22	0.1785352858
23	0.1784074462
24	0.178274377
25	0.1781650682
26	0.1780529002
27	0.1779432514
28	0.1778447492
29	0.1777486774
30	0.1776451597
31	0.1775465388
32	0.1774397376
33	0.1773438135
34	0.1772276822
35	0.1771343037
36	0.1770450702
37	0.1769655512
38	0.1768613647
39	0.1767561048
40	0.1766703205
41	0.1765637088
42	0.176494288
43	0.1764037002
44	0.1763196873
45	0.1762355074
46	0.1761327484
47	0.1760419894
48	0.1759544662
49	0.1758497845
50	0.1757639824
51	0.175683071
52	0.1756004166
53	0.1755249725
54	0.1754295765
55	0.1753462946
56	0.1752589053
57	0.1752008069
58	0.1751207967
59	0.1750521444
60	0.1749771688
61	0.1749046521
62	0.1748428503
63	0.1747499538
64	0.1746868437
65	0.1746080603
66	0.1745379652
67	0.1744583216
68	0.1743735677
69	0.1743011235
70	0.1742297243
71	0.1741621925
72	0.1741121999
73	0.1740253562
74	0.1739676119
75	0.1738815331
76	0.1738003406
77	0.1737326874
78	0.1736681701
79	0.1736053218
80	0.1735288104
81	0.1734607582
82	0.1733931969
83	0.173322549
84	0.1732471831
85	0.1731752494
86	0.1731021601
87	0.1730209611
88	0.1729650842
89	0.1729079614
90	0.1728580907
91	0.1727889822
92	0.1727266661
93	0.1726679592
94	0.1726086965
95	0.1725585332
96	0.1724945316
97	0.1724241723
98	0.1723803874
99	0.1723125809
100	0.1722451813
101	0.172179678
102	0.1721061296
103	0.1720510492
104	0.1720083515
105	0.1719451815
106	0.1718922686
107	0.1718244243
108	0.1717489352
109	0.1717106936
110	0.1716626632
111	0.1715995914
112	0.1715631513
113	0.1714921271
114	0.1714357465
115	0.1713689053
116	0.1713082811
117	0.1712379421
118	0.1711852492
119	0.1711217456
120	0.1710536565
121	0.1710175922
122	0.1709512591
123	0.1709065834
124	0.1708587236
125	0.1708113969
126	0.1707643435
127	0.1707031168
128	0.1706507186
129	0.1706088344
130	0.1705569121
131	0.170486717
132	0.1704340309
133	0.17038795
134	0.1703570554
135	0.1703087017
136	0.1702457822
137	0.1701817186
138	0.1701358504
139	0.1700981848
140	0.1700460609
141	0.169998987
142	0.169955726
143	0.169896832
144	0.1698350615
145	0.1697968103
146	0.169740567
147	0.1697102591
148	0.1696674031
149	0.1696154519
150	0.1695660318
151	0.1695037996
152	0.169457373
153	0.169421003
154	0.1693686682
155	0.1693154262
156	0.169265066
157	0.16921941
158	0.1691671111
159	0.1691127598
160	0.169059515
161	0.1690109687
162	0.1689540198
163	0.1689197256
164	0.1688764497
165	0.1688241461
166	0.1687715744
167	0.1687367121
168	0.168685705
169	0.1686288369
170	0.1685791575
171	0.1685233255
172	0.1684795684
173	0.1684482794
174	0.1683873378
175	0.1683322049
176	0.1683003833
177	0.1682535164
178	0.1681987657
179	0.1681561089
180	0.1681123415
181	0.1680607747
182	0.1680192135
183	0.1679704166
184	0.1679440676
185	0.1678938176
186	0.1678498131
187	0.1678227283
188	0.1677858149
189	0.1677451497
190	0.1677081387
191	0.1676590381
192	0.1676272372
193	0.1675833035
194	0.1675323707
195	0.1674826218
196	0.1674474874
197	0.1674120099
198	0.1673622395
199	0.1673066371
200	0.1672604439
201	0.1672166336
202	0.16717048
203	0.1671260633
204	0.1670799347
205	0.1670333097
206	0.166981315
207	0.1669362084
208	0.1669058998
209	0.1668676196
210	0.1668129899
211	0.1667665563
212	0.1667260766
213	0.1666745125
214	0.1666418514
215	0.1666058654
216	0.1665606253
217	0.1665213052
218	0.1664670807
219	0.1664356868
220	0.1664021575
221	0.1663498906
222	0.1663040933
223	0.166271624
224	0.1662445121
225	0.1662085589
226	0.1661736918
227	0.166129316
228	0.1660782047
229	0.166032166
230	0.1659980734
231	0.1659697269
232	0.165931794
233	0.1658804542
234	0.1658274001
235	0.1657895759
236	0.1657530754
237	0.1657054867
238	0.1656760184
239	0.1656197362
240	0.1655728091
241	0.165533446
242	0.1654846288
243	0.1654485172
244	0.1654019231
245	0.1653611701
246	0.1653207391
247	0.1652659661
248	0.1652169168
249	0.1651799951
250	0.1651537845
251	0.1650988585
252	0.1650532117
253	0.1650196004
254	0.1649832477
255	0.1649327541
256	0.1648964779
257	0.1648675368
258	0.1648275204
259	0.1647928169
260	0.164732004
261	0.1646903036
262	0.1646569113
263	0.1646258183
264	0.1645968528
265	0.1645561935
266	0.164517653
267	0.1644798572
268	0.1644312025
269	0.1643763407
270	0.164333519
271	0.1642869108
272	0.1642587923
273	0.1642232125
274	0.1641762369
275	0.1641414862
276	0.1641119383
277	0.1640752906
278	0.1640367313
279	0.1639976031
280	0.1639632381
281	0.1639342981
282	0.1638937159
283	0.1638634022
284	0.1638247201
285	0.1637962127
286	0.1637512066
287	0.1637165435
288	0.1636902949
289	0.1636686052
290	0.1636202579
291	0.1635891124
292	0.1635520604
293	0.1635018883
294	0.1634655803
295	0.1634317908
296	0.1633827514
297	0.1633465106
298	0.1633094686
299	0.1632722133
300	0.1632306115
301	0.1631844623
302	0.1631376236
303	0.1630930392
304	0.1630483703
305	0.1629989871
306	0.162964401
307	0.1629412802
308	0.1628945604
309	0.1628523134
310	0.1628127273
311	0.1627717344
312	0.1627302403
313	0.1626832813
314	0.1626552866
315	0.162610984
316	0.1625644369
317	0.1625150087
318	0.1624699488
319	0.1624270681
320	0.1623871016
321	0.1623478699
322	0.1623109674
323	0.1622812968
324	0.1622436008
325	0.1622082367
326	0.1621712504
327	0.1621383504
328	0.162083839
329	0.1620481072
330	0.1620121755
331	0.1619768747
332	0.1619365003
333	0.1619056181
