iter	Passed	Remaining
0	32	131218
1	46	92690
2	62	82995
3	72	72310
4	82	65958
5	94	63044
6	105	59994
7	117	58617
8	129	57537
9	142	56861
10	157	57135
11	168	55958
12	180	55276
13	192	54909
14	208	55442
15	224	55990
16	241	56502
17	256	56654
18	283	59444
19	314	62505
20	326	61891
21	340	61630
22	351	60829
23	366	60651
24	379	60410
25	390	59656
26	404	59528
27	418	59308
28	430	59007
29	441	58366
30	451	57843
31	466	57895
32	485	58340
33	513	59899
34	538	61019
35	574	63287
36	608	65223
37	628	65504
38	642	65256
39	678	67195
40	697	67383
41	726	68418
42	735	67727
43	747	67243
44	763	67116
45	779	66984
46	792	66641
47	803	66125
48	815	65771
49	846	66848
50	880	68187
51	907	68883
52	922	68735
53	940	68695
54	952	68286
55	966	68054
56	982	67980
57	998	67860
58	1010	67514
59	1021	67089
60	1042	67326
61	1064	67643
62	1084	67770
63	1095	67375
64	1108	67077
65	1118	66657
66	1130	66363
67	1145	66262
68	1157	65943
69	1170	65698
70	1181	65362
71	1197	65346
72	1211	65153
73	1221	64820
74	1232	64501
75	1244	64266
76	1257	64056
77	1274	64066
78	1285	63792
79	1297	63553
80	1308	63322
81	1321	63141
82	1332	62873
83	1350	62975
84	1365	62886
85	1379	62788
86	1392	62625
87	1422	63222
88	1432	62966
89	1445	62785
90	1462	62843
91	1479	62828
92	1495	62807
93	1508	62671
94	1523	62627
95	1536	62475
96	1547	62254
97	1560	62116
98	1572	61963
99	1587	61896
100	1601	61834
101	1612	61622
102	1624	61472
103	1637	61345
104	1649	61174
105	1660	60995
106	1672	60849
107	1684	60717
108	1695	60536
109	1707	60391
110	1718	60216
111	1730	60086
112	1743	59966
113	1757	59902
114	1772	59882
115	1784	59764
116	1795	59578
117	1811	59578
118	1823	59469
119	1840	59499
120	1853	59418
121	1868	59386
122	1882	59338
123	1901	59426
124	1912	59290
125	1924	59182
126	1938	59103
127	1948	58940
128	1959	58790
129	1971	58698
130	1984	58607
131	1999	58594
132	2012	58508
133	2029	58539
134	2040	58405
135	2055	58408
136	2067	58311
137	2080	58233
138	2094	58192
139	2104	58037
140	2119	58015
141	2135	58026
142	2156	58160
143	2170	58118
144	2181	57995
145	2193	57902
146	2202	57739
147	2214	57639
148	2230	57641
149	2244	57612
150	2256	57517
151	2268	57441
152	2282	57381
153	2295	57325
154	2306	57220
155	2326	57337
156	2339	57254
157	2351	57183
158	2364	57125
159	2382	57182
160	2416	57631
161	2441	57844
162	2457	57841
163	2472	57826
164	2485	57759
165	2511	58000
166	2524	57935
167	2540	57944
168	2549	57801
169	2561	57717
170	2582	57816
171	2597	57810
172	2643	58477
173	2678	58901
174	2692	58850
175	2710	58897
176	2726	58891
177	2745	58949
178	2773	59200
179	2861	60721
180	2888	60942
181	2937	61625
182	2990	62379
183	3039	63030
184	3080	63517
185	3415	70037
186	3586	73123
187	3774	76541
188	3856	77758
189	3979	79790
190	4101	81786
191	4355	86377
192	4568	90105
193	4659	91419
194	4725	92210
195	4781	92805
196	4884	94285
197	5023	96457
198	5073	96897
199	5162	98083
200	5214	98554
201	5233	98391
202	5286	98876
203	5315	98917
204	5332	98724
205	5365	98814
206	5388	98739
207	5421	98833
208	5439	98673
209	5460	98550
210	5476	98334
211	5487	98047
212	5502	97836
213	5519	97656
214	5545	97626
215	5561	97423
216	5580	97285
217	5599	97139
218	5615	96953
219	5629	96726
220	5646	96557
221	5664	96394
222	5679	96197
223	5702	96128
224	5718	95939
225	5732	95722
226	5746	95512
227	5782	95657
228	5811	95705
229	5837	95679
230	5852	95482
231	5865	95266
232	5886	95169
233	5907	95074
234	5926	94950
235	5952	94941
236	5967	94741
237	5988	94652
238	6005	94502
239	6020	94324
240	6041	94238
241	6067	94222
242	6085	94085
243	6098	93871
244	6117	93756
245	6138	93681
246	6153	93503
247	6164	93264
248	6177	93064
249	6202	93038
250	6218	92878
251	6238	92779
252	6254	92637
253	6266	92418
254	6278	92202
255	6290	91991
256	6301	91771
257	6313	91572
258	6332	91468
259	6348	91323
260	6361	91126
261	6379	91015
262	6398	90915
263	6416	90798
264	6433	90675
265	6445	90481
266	6456	90270
267	6469	90095
268	6482	89912
269	6494	89716
270	6509	89575
271	6525	89432
272	6547	89391
273	6562	89245
274	6577	89091
275	6598	89035
276	6609	88831
277	6623	88683
278	6642	88586
279	6653	88395
280	6665	88218
281	6681	88094
282	6692	87900
283	6702	87703
284	6712	87494
285	6721	87285
286	6732	87093
287	6743	86912
288	6760	86804
289	6772	86637
290	6783	86465
291	6793	86263
292	6814	86216
293	6826	86045
294	6840	85914
295	6856	85803
296	6868	85640
297	6888	85571
298	6907	85497
299	7166	88384
300	7260	89224
301	7292	89301
302	7347	89655
303	7396	89923
304	7418	89874
305	7446	89891
306	7465	89810
307	7513	90068
308	7562	90335
309	7600	90468
310	7612	90301
311	7637	90274
312	7648	90098
313	7659	89917
314	7677	89815
315	7696	89729
316	7714	89632
317	7729	89495
318	7739	89307
319	7750	89131
320	7773	89096
321	7790	88990
322	7809	88903
323	7824	88768
324	7842	88682
325	7858	88559
326	7870	88403
327	7885	88283
328	7936	88560
329	8214	91351
330	8283	91821
331	8313	91850
332	8334	91775
333	8351	91668
